1202A,环境监测站,镇江市,江苏省,中国,32.1693,119.4923,12
1254A,监测站,嘉兴市,浙江省,中国,30.7541,120.7674,12
1347A,天河职幼,广州市,广东省,中国,23.1457,113.3143,12
1777A,农科院,吉林市,吉林省,中国,43.9578,126.4699,12
1946A,酒钢耐材公司,嘉峪关市,甘肃省,中国,39.8576,98.2543,12
2172A,榆次液压件厂,晋中市,山西省,中国,37.6558,112.6837,12
2184A,豆制品厂,吕梁市,山西省,中国,37.5145,111.1364,12
2302A,市委党校,阜阳市,安徽省,中国,32.9080,115.7640,12
2592A,马坡井小学,黔东南苗族侗族自治州,贵州省,中国,26.5663,107.9522,12
2666A,市林业局,陇南市,甘肃省,中国,33.3706,104.9583,12
1289A,湖里,厦门市,福建省,中国,24.5118,118.1458,12
1892A,金江,攀枝花市,四川省,中国,26.5402,101.8490,12
3019A,西沙,三沙市,海南省,中国,16.8307,112.3387,12




